#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
Ca9_H7VMKALXX_combined_L3_1	150	1013246	147248036	96.74	94.81	87.89




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
Ca9_H7VMKALXX_combined_L3_1	506623	447359	88.3% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
Ca9_H7VMKALXX_combined_L3_1	2756339	85698	0.04	9845	0.18	438452	0.57


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
Ca9_H7VMKALXX_combined_L3_1	PIK3CA-2	CHG	163	44	0.79
Ca9_H7VMKALXX_combined_L3_1	KEAP1-1	CHG	419	183	0.70
Ca9_H7VMKALXX_combined_L3_1	KEAP1-2	CHG	2075	497	0.81
Ca9_H7VMKALXX_combined_L3_1	ARID2-1	CHG	140	54	0.72
Ca9_H7VMKALXX_combined_L3_1	RB1	CHG	134	99	0.58
Ca9_H7VMKALXX_combined_L3_1	CTNNB1-1	CHG	107	87	0.55
Ca9_H7VMKALXX_combined_L3_1	CTNNB1-2	CHG	407	325	0.56
Ca9_H7VMKALXX_combined_L3_1	RAB31-2	CHG	8	414	0.02
Ca9_H7VMKALXX_combined_L3_1	RAB31-1	CHG	51	1981	0.03
Ca9_H7VMKALXX_combined_L3_1	FBXW7	CHG	35	36	0.49
Ca9_H7VMKALXX_combined_L3_1	ARID1A-1	CHG	6502	3239	0.67
Ca9_H7VMKALXX_combined_L3_1	CBL-2	CHG	1011	745	0.58
Ca9_H7VMKALXX_combined_L3_1	CBL-1	CHG	6215	3321	0.65
Ca9_H7VMKALXX_combined_L3_1	DAB2IP	CHG	152	7372	0.02
Ca9_H7VMKALXX_combined_L3_1	EP300-2	CHG	200	217	0.48
Ca9_H7VMKALXX_combined_L3_1	ERBB2-2	CHG	134	101	0.57
Ca9_H7VMKALXX_combined_L3_1	ERBB2-1	CHG	243	139	0.64
Ca9_H7VMKALXX_combined_L3_1	EGFR-2	CHG	1430	855	0.63
Ca9_H7VMKALXX_combined_L3_1	ERCC1-1	CHG	250	206	0.55
Ca9_H7VMKALXX_combined_L3_1	ERCC1-2	CHG	133	108	0.55
Ca9_H7VMKALXX_combined_L3_1	NOTCH3	CHG	430	155	0.74
Ca9_H7VMKALXX_combined_L3_1	PTEN	CHG	224	140	0.62
Ca9_H7VMKALXX_combined_L3_1	EP300-1	CHG	81	85	0.49
Ca9_H7VMKALXX_combined_L3_1	ERCC2-2	CHG	104	51	0.67
Ca9_H7VMKALXX_combined_L3_1	ERCC2-1	CHG	82	98	0.46
Ca9_H7VMKALXX_combined_L3_1	PRDM14-3	CHG	374	4828	0.07
Ca9_H7VMKALXX_combined_L3_1	PRDM14-2	CHG	104	6469	0.02
Ca9_H7VMKALXX_combined_L3_1	PRDM14-1	CHG	72	3072	0.02
Ca9_H7VMKALXX_combined_L3_1	ABCA3-2	CHH	71	3976	0.02
Ca9_H7VMKALXX_combined_L3_1	ABCA3-3	CHH	342	9842	0.03
Ca9_H7VMKALXX_combined_L3_1	MET-1	CHH	475	49	0.91
Ca9_H7VMKALXX_combined_L3_1	MET-2	CHH	415	151	0.73
Ca9_H7VMKALXX_combined_L3_1	STK11	CHH	58328	31291	0.65
Ca9_H7VMKALXX_combined_L3_1	NOTCH2	CHH	24230	10227	0.70
Ca9_H7VMKALXX_combined_L3_1	NFE2L2-1	CHH	17062	7393	0.70
Ca9_H7VMKALXX_combined_L3_1	FGFR3-1	CHH	469	209	0.69
Ca9_H7VMKALXX_combined_L3_1	PIK3CA-1	CHH	600	512	0.54
Ca9_H7VMKALXX_combined_L3_1	FGFR3-2	CHH	493	228	0.68
Ca9_H7VMKALXX_combined_L3_1	PIK3CA-2	CHH	1251	438	0.74
Ca9_H7VMKALXX_combined_L3_1	KEAP1-1	CHH	3552	1480	0.71
Ca9_H7VMKALXX_combined_L3_1	KEAP1-2	CHH	15945	3849	0.81
Ca9_H7VMKALXX_combined_L3_1	ARID2-1	CHH	1145	438	0.72
Ca9_H7VMKALXX_combined_L3_1	RB1	CHH	999	365	0.73
Ca9_H7VMKALXX_combined_L3_1	CTNNB1-1	CHH	3096	1651	0.65
Ca9_H7VMKALXX_combined_L3_1	CTNNB1-2	CHH	2234	1208	0.65
Ca9_H7VMKALXX_combined_L3_1	RAB31-2	CHH	14	635	0.02
Ca9_H7VMKALXX_combined_L3_1	RAB31-1	CHH	161	5827	0.03
Ca9_H7VMKALXX_combined_L3_1	MAP2K1-1	CHH	2760	746	0.79
Ca9_H7VMKALXX_combined_L3_1	FBXW7	CHH	472	355	0.57
Ca9_H7VMKALXX_combined_L3_1	ARID1A-1	CHH	51595	15015	0.77
Ca9_H7VMKALXX_combined_L3_1	CBL-2	CHH	12505	7706	0.62
Ca9_H7VMKALXX_combined_L3_1	CBL-1	CHH	23236	13752	0.63
Ca9_H7VMKALXX_combined_L3_1	DAB2IP	CHH	127	7959	0.02
Ca9_H7VMKALXX_combined_L3_1	EP300-2	CHH	934	709	0.57
Ca9_H7VMKALXX_combined_L3_1	ERBB2-2	CHH	6850	4372	0.61
Ca9_H7VMKALXX_combined_L3_1	ERBB2-1	CHH	1299	963	0.57
Ca9_H7VMKALXX_combined_L3_1	EGFR-2	CHH	7895	3268	0.71
Ca9_H7VMKALXX_combined_L3_1	ERCC1-1	CHH	2738	1580	0.63
Ca9_H7VMKALXX_combined_L3_1	ERCC1-2	CHH	2062	743	0.74
Ca9_H7VMKALXX_combined_L3_1	NOTCH3	CHH	5395	3841	0.58
Ca9_H7VMKALXX_combined_L3_1	PTEN	CHH	2559	1404	0.65
Ca9_H7VMKALXX_combined_L3_1	EP300-1	CHH	685	890	0.43
Ca9_H7VMKALXX_combined_L3_1	ERCC2-2	CHH	3397	1567	0.68
Ca9_H7VMKALXX_combined_L3_1	ERCC2-1	CHH	1867	1622	0.54
Ca9_H7VMKALXX_combined_L3_1	PRDM14-3	CHH	2524	9105	0.22
Ca9_H7VMKALXX_combined_L3_1	PRDM14-2	CHH	241	13260	0.02
Ca9_H7VMKALXX_combined_L3_1	PRDM14-1	CHH	276	9445	0.03
