#Table 1
SampleID	ReadsLength	CleanReads	CleanBases	EffectvieRate(%)	Q20(%)	Q30(%)
Ca4_H7VMKALXX_combined_L3_1	150	1343542	195516340	96.85	94.73	87.69




#Table 2
SampleID	CleanReads	BestHit	MappingEfficiency
Ca4_H7VMKALXX_combined_L3_1	671771	603536	89.8% 


#Table 3
SampleID	# of C	# of Methylated CpG	Methylation Level of CpG	# of Methylated CHG	Methylation Level of CHG	# of Methylated CHH	Methylation Level of CHH
Ca4_H7VMKALXX_combined_L3_1	3557868	127730	0.05	12508	0.17	452913	0.56


#Table 4
SampleID	Gene	# of Methylated Reads	# of Unmethylated Reads	 Average Methylation
Ca4_H7VMKALXX_combined_L3_1	ABCA3-2	CHG	109	4245	0.03
Ca4_H7VMKALXX_combined_L3_1	ABCA3-3	CHG	300	9380	0.03
Ca4_H7VMKALXX_combined_L3_1	MET-1	CHG	141	31	0.82
Ca4_H7VMKALXX_combined_L3_1	MET-2	CHG	18	4	0.82
Ca4_H7VMKALXX_combined_L3_1	STK11	CHG	7235	3144	0.70
Ca4_H7VMKALXX_combined_L3_1	ERCC1-2	CHG	73	43	0.63
Ca4_H7VMKALXX_combined_L3_1	NFE2L2-1	CHG	413	264	0.61
Ca4_H7VMKALXX_combined_L3_1	PIK3CA-1	CHG	91	49	0.65
Ca4_H7VMKALXX_combined_L3_1	FGFR3-2	CHG	132	105	0.56
Ca4_H7VMKALXX_combined_L3_1	PIK3CA-2	CHG	279	96	0.74
Ca4_H7VMKALXX_combined_L3_1	KEAP1-1	CHG	374	183	0.67
Ca4_H7VMKALXX_combined_L3_1	KEAP1-2	CHG	2704	584	0.82
Ca4_H7VMKALXX_combined_L3_1	ARID2-1	CHG	244	105	0.70
Ca4_H7VMKALXX_combined_L3_1	RB1	CHG	309	236	0.57
Ca4_H7VMKALXX_combined_L3_1	CTNNB1-1	CHG	196	132	0.60
Ca4_H7VMKALXX_combined_L3_1	CTNNB1-2	CHG	638	534	0.54
Ca4_H7VMKALXX_combined_L3_1	RAB31-2	CHG	42	1154	0.04
Ca4_H7VMKALXX_combined_L3_1	RAB31-1	CHG	95	3119	0.03
Ca4_H7VMKALXX_combined_L3_1	FBXW7	CHG	25	22	0.53
Ca4_H7VMKALXX_combined_L3_1	ARID1A-1	CHG	6839	2812	0.71
Ca4_H7VMKALXX_combined_L3_1	CBL-2	CHG	640	439	0.59
Ca4_H7VMKALXX_combined_L3_1	CBL-1	CHG	5209	3028	0.63
Ca4_H7VMKALXX_combined_L3_1	NFE2L2-2	CHG	43	22	0.66
Ca4_H7VMKALXX_combined_L3_1	DAB2IP	CHG	258	8782	0.03
Ca4_H7VMKALXX_combined_L3_1	EP300-2	CHG	181	125	0.59
Ca4_H7VMKALXX_combined_L3_1	ERBB2-2	CHG	88	67	0.57
Ca4_H7VMKALXX_combined_L3_1	ERBB2-1	CHG	227	146	0.61
Ca4_H7VMKALXX_combined_L3_1	EGFR-2	CHG	1084	638	0.63
Ca4_H7VMKALXX_combined_L3_1	ERCC1-1	CHG	238	221	0.52
Ca4_H7VMKALXX_combined_L3_1	NOTCH2	CHG	3372	2401	0.58
Ca4_H7VMKALXX_combined_L3_1	NOTCH3	CHG	506	151	0.77
Ca4_H7VMKALXX_combined_L3_1	PTEN	CHG	173	62	0.74
Ca4_H7VMKALXX_combined_L3_1	EP300-1	CHG	52	51	0.50
Ca4_H7VMKALXX_combined_L3_1	ERCC2-2	CHG	67	38	0.64
Ca4_H7VMKALXX_combined_L3_1	ERCC2-1	CHG	39	58	0.40
Ca4_H7VMKALXX_combined_L3_1	PRDM14-3	CHG	470	9047	0.05
Ca4_H7VMKALXX_combined_L3_1	PRDM14-2	CHG	185	8702	0.02
Ca4_H7VMKALXX_combined_L3_1	PRDM14-1	CHG	81	3315	0.02
Ca4_H7VMKALXX_combined_L3_1	ABCA3-1	CHH	3370	7343	0.31
Ca4_H7VMKALXX_combined_L3_1	ABCA3-2	CHH	118	5178	0.02
Ca4_H7VMKALXX_combined_L3_1	ABCA3-3	CHH	475	12908	0.04
Ca4_H7VMKALXX_combined_L3_1	MET-1	CHH	888	175	0.84
Ca4_H7VMKALXX_combined_L3_1	MET-2	CHH	441	187	0.70
Ca4_H7VMKALXX_combined_L3_1	STK11	CHH	55159	26770	0.67
Ca4_H7VMKALXX_combined_L3_1	ERCC1-2	CHH	940	376	0.71
Ca4_H7VMKALXX_combined_L3_1	NFE2L2-1	CHH	19096	7430	0.72
Ca4_H7VMKALXX_combined_L3_1	PIK3CA-1	CHH	642	327	0.66
Ca4_H7VMKALXX_combined_L3_1	FGFR3-2	CHH	697	280	0.71
Ca4_H7VMKALXX_combined_L3_1	PIK3CA-2	CHH	2136	652	0.77
Ca4_H7VMKALXX_combined_L3_1	KEAP1-1	CHH	3099	1423	0.69
Ca4_H7VMKALXX_combined_L3_1	KEAP1-2	CHH	19614	4970	0.80
Ca4_H7VMKALXX_combined_L3_1	ARID2-1	CHH	2090	839	0.71
Ca4_H7VMKALXX_combined_L3_1	RB1	CHH	1877	651	0.74
Ca4_H7VMKALXX_combined_L3_1	CTNNB1-1	CHH	4193	2054	0.67
Ca4_H7VMKALXX_combined_L3_1	CTNNB1-2	CHH	3858	1800	0.68
Ca4_H7VMKALXX_combined_L3_1	RAB31-2	CHH	60	1742	0.03
Ca4_H7VMKALXX_combined_L3_1	RAB31-1	CHH	349	9140	0.04
Ca4_H7VMKALXX_combined_L3_1	MAP2K1-1	CHH	2318	678	0.77
Ca4_H7VMKALXX_combined_L3_1	FBXW7	CHH	347	277	0.56
Ca4_H7VMKALXX_combined_L3_1	ARID1A-1	CHH	52025	13219	0.80
Ca4_H7VMKALXX_combined_L3_1	CBL-2	CHH	7430	4406	0.63
Ca4_H7VMKALXX_combined_L3_1	CBL-1	CHH	20249	11422	0.64
Ca4_H7VMKALXX_combined_L3_1	NFE2L2-2	CHH	402	185	0.68
Ca4_H7VMKALXX_combined_L3_1	DAB2IP	CHH	255	9400	0.03
Ca4_H7VMKALXX_combined_L3_1	EP300-2	CHH	641	442	0.59
Ca4_H7VMKALXX_combined_L3_1	ERBB2-2	CHH	4723	2758	0.63
Ca4_H7VMKALXX_combined_L3_1	ERBB2-1	CHH	1209	907	0.57
Ca4_H7VMKALXX_combined_L3_1	EGFR-2	CHH	5910	2318	0.72
Ca4_H7VMKALXX_combined_L3_1	ERCC1-1	CHH	2769	1411	0.66
Ca4_H7VMKALXX_combined_L3_1	NOTCH2	CHH	38081	15375	0.71
Ca4_H7VMKALXX_combined_L3_1	NOTCH3	CHH	6048	4891	0.55
Ca4_H7VMKALXX_combined_L3_1	PTEN	CHH	1795	834	0.68
Ca4_H7VMKALXX_combined_L3_1	EP300-1	CHH	419	451	0.48
Ca4_H7VMKALXX_combined_L3_1	ERCC2-2	CHH	3032	1199	0.72
Ca4_H7VMKALXX_combined_L3_1	ERCC2-1	CHH	1013	777	0.57
Ca4_H7VMKALXX_combined_L3_1	PRDM14-3	CHH	2290	15632	0.13
Ca4_H7VMKALXX_combined_L3_1	PRDM14-2	CHH	415	17813	0.02
Ca4_H7VMKALXX_combined_L3_1	PRDM14-1	CHH	453	10046	0.04
